_id,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
665117fa22e03d3d869c0c9d,"Villa Hidalgo, Dgo.",26.2425,-104.928889,1750,Durango,Hidalgo,Arroyo La India-Laguna Palomas,Mapimi,1996.13,96.57,1993,73.26,1988.2,45.389,62
665117fa22e03d3d869c0c9e,"Lázaro Cárdenas, Dgo.",25.594167,-105.015833,1600,Durango,Indé,Presa Lázaro Cárdenas,Nazas Aguanaval,1729.55,39.555,1726.23,23.08,1721.59,8.691,38
665117fa22e03d3d869c0c9f,"San Gabriel, Dgo.",26.436667,-105.560833,1739,Durango,Ocampo,Río Florido 1,Bravo Conchos,1580.12,18.56,1576.92,14,1565.99,2.628,19
665117fa22e03d3d869c0ca0,"Francisco Villa, Dgo.",24.001667,-103.960833,1961,Durango,Poanas,Río Poanas,Presidio San Pedro,1895.27,54.902,1892.5,27.948,1886.41,3.189,11
665117fa22e03d3d869c0ca1,"El Tigre, Dgo.",24.563056,-102.785,0,Durango,San Juan de Guadalupe,Presa La Flor,Nazas Aguanaval,1661.09,27.39,1658.4,20.928,1652.45,10.239,49
665117fa22e03d3d869c0ca2,"Solís, Gto.",20.055278,-100.669722,1879,Guanajuato,Acámbaro,Río Lerma 3,Lerma Santiago,2566.92,52.509,2565.5,35.312,2561.44,8.493,24
665117fa22e03d3d869c0ca3,"Peñuelitas, Gto.",21.105,-100.878333,1915,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Río La Laja 1,Lerma Santiago,2512.8,126.5,2512.65,121.3,2507.35,2,2
665117fa22e03d3d869c0ca4,"La Purísima, Gto.",20.867222,-101.287778,1839,Guanajuato,Guanajuato,Río Lerma 5,Lerma Santiago,2306.82,64.08,2305.2,56.91,2299.1,34.083,60
665117fa22e03d3d869c0ca5,"La Soledad, Gto.",21.04,-101.279722,2001,Guanajuato,Guanajuato,Río Lerma 5,Lerma Santiago,2607.5,249.943,2605.5,185.723,2599.43,46.624,25
665117fa22e03d3d869c0ca6,"El Palote, Gto.",21.173611,-101.678889,1856,Guanajuato,León,Río Lerma 5,Lerma Santiago,1833,449.42,1830,394.39,1812.15,109.273,28
